composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Bi:0.05263158|C:0.05263158|H:0.31578947|I:0.47368421|N:0.05263158|Sb:0.05263158,1.9242813496111115,0.06796294940401185,7.636382946085988,2.545137856606885,0.05479602191642314,3.3202277772602145,False,1.9242813496111115,1.9242813496111115,False,0,0
Bi:0.05263158|C:0.07894737|H:0.47368421|I:0.31578947|N:0.07894737,2.148257222222223,0.022816387762748566,2.104708829340593,2.5229230486263785,0.030006879496985443,2.303774673792242,False,2.148257222222223,2.148257222222223,False,0,0
Bi:0.05405405|C:0.08108108|H:0.48648649|I:0.29729730|N:0.08108108,2.1684769166666675,0.038231322170335584,1.9185202083373494,2.527696049688069,0.038242813821304886,1.8537884942009104,False,2.1684769166666675,2.1684769166666675,False,0,0
Bi:0.05555556|C:0.08333333|H:0.50000000|I:0.27777778|N:0.08333333,2.1776659166666676,0.03546512971484279,1.2792606105046935,2.5675929612125428,0.024781707696671425,1.4134032810417636,False,2.1776659166666676,2.1776659166666676,False,0,0
Bi:0.05714286|C:0.08571429|H:0.42857143|I:0.25714286|N:0.17142857,1.9510080833333348,0.0592287468903586,1.2350910371328965,2.6559143826726554,0.024970101366025926,1.4638999957068504,False,1.9510080833333348,1.9510080833333348,False,0,0
Bi:0.05714286|C:0.08571429|H:0.51428571|I:0.25714286|N:0.08571429,2.1680376666666676,0.02524382759219764,1.0812666176052423,2.5880360251727845,0.029406653516333474,1.3218825216303522,False,2.1680376666666676,2.0833333333333335,True,2,5
Bi:0.06079027|C:0.08206687|Cs:0.00911854|H:0.49240122|I:0.27355623|N:0.08206687,2.0515357777777785,0.0367568561203465,1.4817523286324392,2.548560835037846,0.037911658926803975,2.0578507504844987,False,2.0515357777777785,2.0515357777777785,False,0,0
Bi:0.08333333|C:0.08333333|H:0.50000000|I:0.25000000|N:0.08333333,2.1692400277777795,0.025858214527482885,2.158424202323088,2.5543863346703652,0.04011984426274129,2.12577210257405,False,2.1692400277777795,2.1692400277777795,False,0,0
Bi:0.09090909|C:0.09090909|H:0.54545455|I:0.18181818|N:0.09090909,2.04503131,0.011213731170666295,1.3778351510792146,2.6236214212923152,0.030229656978919245,1.6411811455932743,False,2.04503131,2.04503131,False,0,0
Bi:0.10000000|Cs:0.20000000|I:0.60000000|Na:0.10000000,1.737486523333335,0.026638170299584266,15.431206722213233,2.064820663208321,0.04084370280125775,6.936327564081373,False,1.737486523333335,1.66,True,1,5
Bi:0.10526316|C:0.05263158|H:0.31578947|I:0.47368421|N:0.05263158,2.0670837777777793,0.03955574842183809,7.173125612311933,2.5517818395232155,0.042445803955504256,3.4828466382822936,False,2.0670837777777793,2.0670837777777793,False,0,0
Bi:0.14285714|C:0.04761905|H:0.23809524|I:0.47619048|N:0.09523810,1.9589362500000003,0.04027627444787892,7.359453547554286,2.4532424870285583,0.026177716210476057,4.722928336699387,False,1.9589362500000005,1.9589362500000005,False,0,0
Bi:0.14285714|C:0.04761905|H:0.28571429|I:0.47619048|N:0.04761905,2.0085317777777782,0.030968001006470763,7.466741849843537,2.4830278470397937,0.018501526084228014,4.319084880402335,False,2.0085317777777782,2.0085317777777782,False,0,0
Bi:0.14285714|Cs:0.21428571|I:0.64285714,1.7775980277777808,0.03142413837961565,5.852590037936604,2.1565018131558844,0.021073334740123434,2.033719431144808,True,2.1259917768011785,2.03,True,1,10
Bi:0.14285714|I:0.64285714|K:0.21428571,1.8885083055555558,0.023789628146799843,11.331907701294325,1.976479861656125,0.027581779515308647,3.9215133385499676,False,1.8885083055555556,1.8885083055555556,False,0,0
Bi:0.14285714|I:0.64285714|Na:0.21428571,1.8767667511111117,0.018541455845127553,9.339189881846583,1.930682516755306,0.05348852858471186,4.892303139284379,False,1.8767667511111117,1.8767667511111117,False,0,0
Bi:0.14285714|I:0.64285714|Rb:0.21428571,1.9697230277777789,0.01444644911115804,7.781429875594668,2.064031040702047,0.05384166697347285,4.119111340086592,False,1.9697230277777789,1.9697230277777789,False,0,0
Bi:0.16666667|Cs:0.16666667|I:0.66666667,1.7750029444444473,0.020897137687401923,5.144400554442617,2.0699440650669585,0.020168351625721535,2.172469366117026,True,2.02794718080517,2.02794718080517,False,0,0
Bi:0.20000000|Cr:0.10000000|Fe:0.10000000|O:0.60000000,2.312102404761905,0.021025076240597122,1.0390980405820391,2.4912268858175093,0.010218652000928922,0.36057684811813434,True,2.4207497733020427,1.4,True,1,3
