anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,41,bamboo_all_frozen,target_only_ridge,0.2083367716390826,0.6247179766108211,0.6666666666666667,0.10653521274391603
3,41,bamboo_all_adapted,target_only_ridge,0.20823742657057887,0.6300660170740491,0.6666666666666667,0.10653521274391603
3,41,programme_balanced_portfolio_frozen,target_only_ridge,0.06267615685512828,0.6578089769770443,0.7777777777777777,0.10653521274391603
3,41,programme_balanced_portfolio_adapted,target_only_ridge,0.0843703611465132,0.6420991081163121,0.6666666666666667,0.08726432267793463
3,41,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6264519063678065,0.7777777777777777,0.08726432267793463
3,42,bamboo_all_frozen,target_only_ridge,0.4673442391579652,1.1556781188506764,0.6666666666666666,0.45114313736688166
3,42,bamboo_all_adapted,target_only_ridge,0.49094450266045575,1.1683797149508428,0.6666666666666666,0.45114313736688166
3,42,programme_balanced_portfolio_frozen,target_only_ridge,0.34196865515701647,1.1697167250666498,0.7777777777777778,0.45114313736688166
3,42,programme_balanced_portfolio_adapted,target_only_ridge,0.3480130614255622,1.1662070735126564,0.7777777777777778,0.45114313736688166
3,42,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.150641270471022,0.7777777777777778,0.43187224730090024
3,43,bamboo_all_frozen,target_only_ridge,0.21249460500077255,0.5092337278579913,0.4444444444444445,0.1517419489540139
3,43,bamboo_all_adapted,target_only_ridge,0.21134812751876686,0.5149160208501711,0.4444444444444445,0.1517419489540139
3,43,programme_balanced_portfolio_frozen,target_only_ridge,0.054420359498678295,0.5369766877609867,0.5555555555555556,0.1517419489540139
3,43,programme_balanced_portfolio_adapted,target_only_ridge,0.07103927681704203,0.5306258897109033,0.5555555555555556,0.1324710588880325
3,43,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.512881242693147,0.5555555555555556,0.1324710588880325
3,44,bamboo_all_frozen,target_only_ridge,0.3420108339683512,0.48082226289709257,0.5555555555555556,0.08758882980983045
3,44,bamboo_all_adapted,target_only_ridge,0.34106506206244414,0.47547422243386456,0.5555555555555556,0.08758882980983045
3,44,programme_balanced_portfolio_frozen,target_only_ridge,0.23345977977634347,0.5112392430317019,0.6666666666666666,0.08758882980983045
3,44,programme_balanced_portfolio_adapted,target_only_ridge,0.22504293440984646,0.46878917185482954,0.4444444444444444,0.08758882980983045
3,44,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.48028663394457877,0.6666666666666666,0.08758882980983045
