composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.20000000|O:0.60000000|Sb:0.20000000,2.325,1.276,2.4625000000000004,3,4,Ag-O-Sb,AgSbO3,1.1865000000000003
Ag:0.20000000|O:0.60000000|Ta:0.20000000,2.1,0.75,3.4,4,5,Ag-O-Ta,AgTaO3,2.65
Ag:0.20000000|O:0.60000000|V:0.20000000,2.08,1.9525,2.1500000000000004,7,11,Ag-O-V,AgVO3,0.19750000000000045
Ag:0.21428571|Ge:0.35714286|P:0.42857143,0.605,0.605,0.605,1,2,Ag-Ge-P,Ag6Ge10P12,0.0
Ag:0.22222222|Bi:0.11111111|Br:0.11111111|O:0.44444444|V:0.11111111,2.312,2.312,2.312,1,1,Ag-Bi-Br-O-V,Ag @ AgBr / BiVO4,0.0
Ag:0.22222222|Bi:0.11111111|Cl:0.11111111|O:0.44444444|P:0.11111111,3.9,3.9,3.9,1,1,Ag-Bi-Cl-O-P,Ag / AgCl / BiPO4,0.0
Ag:0.23076923|Ba:0.23076923|In:0.07692308|Te:0.46153846,0.48,0.48,0.48,1,1,Ag-Ba-In-Te,Ba3Ag3InTe6,0.0
Ag:0.23076923|Fe:0.07692308|La:0.07692308|O:0.53846154|P:0.07692308,2.13,2.13,2.13,1,1,Ag-Fe-La-O-P,LaFeO3 / Ag3PO4-60,0.0
Ag:0.25000000|Al:0.12500000|In:0.12500000|S:0.50000000,2.31,2.31,2.31,1,1,Ag-Al-In-S,Ag(In0.5Al0.5)S2,0.0
Ag:0.25000000|B:0.25000000|S:0.50000000,3.16,3.16,3.16,1,1,Ag-B-S,AgBS2,0.0
Ag:0.25000000|Bi:0.12500000|I:0.62500000,1.865,1.865,1.865,1,2,Ag-Bi-I,Ag2BiI5,0.0
Ag:0.25000000|Bi:0.25000000|S:0.50000000,0.95,0.8925000000000001,1.0625,4,7,Ag-Bi-S,AgBiS2,0.16999999999999993
Ag:0.25000000|Bi:0.25000000|Se:0.50000000,0.6,0.6,0.6,1,1,Ag-Bi-Se,AgBiSe2,0.0
Ag:0.25000000|C:0.25000000|Cl:0.25000000|N:0.25000000,3.0,3.0,3.0,1,2,Ag-C-Cl-N,AgCl-CN1.0,0.0
Ag:0.25000000|C:0.25000000|O:0.50000000,4.35,4.35,4.35,1,1,Ag-C-O,Ag2C2O4,0.0
Ag:0.25000000|Co:0.25000000|O:0.50000000,3.96,3.96,3.96,1,1,Ag-Co-O,AgCoO2,0.0
Ag:0.25000000|Cr:0.25000000|Se:0.50000000,0.49,0.49,0.49,1,1,Ag-Cr-Se,AgCrSe2,0.0
Ag:0.25000000|Cu:0.50000000|O:0.25000000,1.81,1.81,1.81,1,1,Ag-Cu-O,Ag / Cu2O,0.0
Ag:0.25000000|Eu:0.25000000|F:0.25000000|Te:0.25000000,2.1,2.1,2.1,1,1,Ag-Eu-F-Te,EuFAg1−δTe,0.0
Ag:0.25000000|Fe:0.25000000|O:0.50000000,1.915,1.8074999999999999,2.0225,2,2,Ag-Fe-O,AgFeO2,0.21500000000000008
